date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:10	7816/7816	---M--	200	added ('OK')	font/woff2	etag:W/%221e88-49773873e8%22	https://www.the99apartments.com/_next/static/media/7db6c35d839a711c-s.p.woff2	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/media/7db6c35d839a711c-s.p.woff2	(from https://www.the99apartments.com/)
15:45:11	7600/7600	---M--	200	added ('OK')	font/woff2	etag:W/%221db0-49773873e8%22	https://www.the99apartments.com/_next/static/media/6245472ced48d3be-s.p.woff2	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/media/6245472ced48d3be-s.p.woff2	(from https://www.the99apartments.com/)
15:45:11	249426/249426	---MCZ	200	added ('OK')	text/css	etag:W/%223ce52-49773873e8%22	https://www.the99apartments.com/_next/static/css/339706e6d6fc10f3.css	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/css/339706e6d6fc10f3.css	(from https://www.the99apartments.com/)
15:45:11	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216544-49773873e8%22	https://www.the99apartments.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://www.the99apartments.com/)
15:45:12	1168/1168	---MCZ	200	added ('OK')	application/javascript	etag:W/%22490-49773873e8%22	https://www.the99apartments.com/_next/static/chunks/4571.f2e62112875bfc3b.js	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/chunks/4571.f2e62112875bfc3b.js	(from https://www.the99apartments.com/)
15:45:12	1394/1394	---MCZ	200	added ('OK')	application/javascript	etag:W/%22572-49773873e8%22	https://www.the99apartments.com/_next/static/chunks/378.e11e70d4e53205a8.js	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/chunks/378.e11e70d4e53205a8.js	(from https://www.the99apartments.com/)
15:45:12	4084/4084	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ff4-49773873e8%22	https://www.the99apartments.com/_next/static/chunks/webpack-e872a8c17d86db03.js	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/chunks/webpack-e872a8c17d86db03.js	(from https://www.the99apartments.com/)
15:45:13	141053/141053	---MCZ	200	added ('OK')	application/javascript	etag:W/%22226fd-49773873e8%22	https://www.the99apartments.com/_next/static/chunks/framework-3671d8951bf44e4e.js	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/chunks/framework-3671d8951bf44e4e.js	(from https://www.the99apartments.com/)
15:45:13	90666/90666	---MCZ	200	added ('OK')	application/javascript	etag:W/%221622a-49773873e8%22	https://www.the99apartments.com/_next/static/chunks/main-754f456e4536651e.js	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/chunks/main-754f456e4536651e.js	(from https://www.the99apartments.com/)
15:45:14	263000/263000	---MCZ	200	added ('OK')	application/javascript	etag:W/%2240358-49773873e8%22	https://www.the99apartments.com/_next/static/chunks/pages/_app-e1f4d08cb97d3890.js	C:/Users/Isaac%20Winner/Desktop/thepreciousapartment/www.the99apartments.com/_next/static/chunks/pages/_app-e1f4d08cb97d3890.js	(from https://www.the99apartments.com/)
